EmployeeID,FirstName,LastName,Email,Phone,Department,Certifications,AssignedCourses,MaxHoursPerWeek,Active
T10001,Robert,Chen,robert.chen@school.edu,(555) 352-5910,MATHEMATICS,"Mathematics (7-12); Secondary Education","MATH108-01 - Trigonometry (Section 1); MATH104-03 - Pre-Calculus (Section 3); MATH104-02 - Pre-Calculus (Section 2); MATH104-04 - Pre-Calculus (Section 4); MATH101-05 - Algebra I (Section 5); MATH102-05 - Algebra II (Section 5)",40,TRUE
T10002,Maria,Rodriguez,maria.rodriguez@school.edu,(555) 460-8059,MATHEMATICS,"Mathematics (7-12); Secondary Education","MATH102-05 - Algebra II (Section 5); MATH107-03 - AP Statistics (Section 3); MATH106-01 - AP Calculus BC (Section 1); MATH101-03 - Algebra I (Section 3); MATH107-01 - AP Statistics (Section 1)",40,TRUE
T10003,David,Kim,david.kim@school.edu,(555) 267-7921,MATHEMATICS,"Mathematics (7-12); Secondary Education","MATH105-03 - AP Calculus AB (Section 3); MATH104-01 - Pre-Calculus (Section 1); MATH102-03 - Algebra II (Section 3); MATH105-02 - AP Calculus AB (Section 2); MATH103-05 - Geometry (Section 5)",40,TRUE
T10004,Sarah,Johnson,sarah.johnson@school.edu,(555) 835-5533,MATHEMATICS,"Mathematics (7-12); Secondary Education","MATH102-02 - Algebra II (Section 2); MATH106-02 - AP Calculus BC (Section 2); MATH101-04 - Algebra I (Section 4); MATH108-02 - Trigonometry (Section 2); MATH107-02 - AP Statistics (Section 2)",40,TRUE
T10005,Michael,Anderson,michael.anderson@school.edu,(555) 686-3013,MATHEMATICS,"Mathematics (7-12); Secondary Education","MATH105-01 - AP Calculus AB (Section 1); MATH102-04 - Algebra II (Section 4); MATH103-03 - Geometry (Section 3); MATH103-04 - Geometry (Section 4); MATH102-01 - Algebra II (Section 1)",40,TRUE
T10006,Jennifer,Lee,jennifer.lee@school.edu,(555) 999-9419,MATHEMATICS,"Mathematics (7-12); Secondary Education","MATH101-01 - Algebra I (Section 1); MATH103-02 - Geometry (Section 2); MATH101-02 - Algebra I (Section 2); MATH103-01 - Geometry (Section 1)",40,TRUE
T10007,Carmen,Gonzalez,carmen.gonzalez@school.edu,(555) 129-8296,WORLD_LANGUAGES,"World Languages; ESL","FREN103-02 - French III (Section 2); FREN102-03 - French II (Section 3); FREN102-01 - French II (Section 1); FREN104-01 - AP French (Section 1); GERM101-01 - German I (Section 1); SPAN101-05 - Spanish I (Section 5)",40,TRUE
T10008,Pierre,Dubois,pierre.dubois@school.edu,(555) 243-2292,WORLD_LANGUAGES,"World Languages; ESL","SPAN101-05 - Spanish I (Section 5); SPAN102-02 - Spanish II (Section 2); FREN101-04 - French I (Section 4); GERM101-03 - German I (Section 3); SPAN104-01 - Spanish IV (Section 1)",40,TRUE
T10009,Yuki,Tanaka,yuki.tanaka@school.edu,(555) 320-8144,WORLD_LANGUAGES,"World Languages; ESL","SPAN102-04 - Spanish II (Section 4); FREN103-01 - French III (Section 1); FREN101-01 - French I (Section 1); SPAN101-04 - Spanish I (Section 4); FREN102-02 - French II (Section 2)",40,TRUE
T10010,Hans,Schmidt,hans.schmidt@school.edu,(555) 816-6459,WORLD_LANGUAGES,"World Languages; ESL","SPAN105-01 - AP Spanish (Section 1); GERM102-02 - German II (Section 2); SPAN103-01 - Spanish III (Section 1); GERM103-01 - German III (Section 1); SPAN103-03 - Spanish III (Section 3)",40,TRUE
T10011,Rosa,Fernandez,rosa.fernandez@school.edu,(555) 445-5327,WORLD_LANGUAGES,"World Languages; ESL","SPAN102-01 - Spanish II (Section 1); SPAN101-02 - Spanish I (Section 2); FREN101-03 - French I (Section 3); SPAN105-02 - AP Spanish (Section 2); SPAN104-02 - Spanish IV (Section 2)",40,TRUE
T10012,Antonio,Silva,antonio.silva@school.edu,(555) 410-9352,WORLD_LANGUAGES,"World Languages; ESL","FREN101-02 - French I (Section 2); SPAN102-03 - Spanish II (Section 3); GERM101-02 - German I (Section 2); GERM102-01 - German II (Section 1); SPAN103-02 - Spanish III (Section 2)",40,TRUE
T10013,Francesca,Romano,francesca.romano@school.edu,(555) 276-8266,WORLD_LANGUAGES,"World Languages; ESL","SPAN101-01 - Spanish I (Section 1); SPAN101-03 - Spanish I (Section 3)",40,TRUE
T10014,Coach,O'Connor,coach.o'connor@school.edu,(555) 485-1864,PHYSICAL_EDUCATION,"Physical Education (K-12); Health","PE104-02 - Physical Education 12 (Section 2); PE102-02 - Physical Education 10 (Section 2); PE108-01 - Lifetime Fitness (Section 1); PE101-06 - Physical Education 9 (Section 6); PE103-02 - Physical Education 11 (Section 2); PE101-08 - Physical Education 9 (Section 8)",40,TRUE
T10015,Coach,Parker,coach.parker@school.edu,(555) 495-6374,PHYSICAL_EDUCATION,"Physical Education (K-12); Health","PE101-08 - Physical Education 9 (Section 8); PE105-05 - Health (Section 5); PE102-04 - Physical Education 10 (Section 4); PE103-01 - Physical Education 11 (Section 1); PE105-02 - Health (Section 2)",40,TRUE
T10016,Coach,Edwards,coach.edwards@school.edu,(555) 974-5341,PHYSICAL_EDUCATION,"Physical Education (K-12); Health","PE104-01 - Physical Education 12 (Section 1); PE104-03 - Physical Education 12 (Section 3); PE101-02 - Physical Education 9 (Section 2); PE104-04 - Physical Education 12 (Section 4); PE102-06 - Physical Education 10 (Section 6)",40,TRUE
T10017,Coach,Collins,coach.collins@school.edu,(555) 930-9734,PHYSICAL_EDUCATION,"Physical Education (K-12); Health","PE106-03 - Weight Training (Section 3); PE103-04 - Physical Education 11 (Section 4); PE101-07 - Physical Education 9 (Section 7); PE105-04 - Health (Section 4); PE106-02 - Weight Training (Section 2)",40,TRUE
T10018,Coach,Stewart,coach.stewart@school.edu,(555) 788-4015,PHYSICAL_EDUCATION,"Physical Education (K-12); Health","PE102-05 - Physical Education 10 (Section 5); PE108-02 - Lifetime Fitness (Section 2); PE106-01 - Weight Training (Section 1); PE105-03 - Health (Section 3); PE101-04 - Physical Education 9 (Section 4)",40,TRUE
T10019,Coach,Morris,coach.morris@school.edu,(555) 701-8514,PHYSICAL_EDUCATION,"Physical Education (K-12); Health","PE108-03 - Lifetime Fitness (Section 3); PE101-03 - Physical Education 9 (Section 3); PE102-01 - Physical Education 10 (Section 1); PE107-02 - Team Sports (Section 2); PE106-04 - Weight Training (Section 4)",40,TRUE
T10020,Coach,Hughes,coach.hughes@school.edu,(555) 689-2762,PHYSICAL_EDUCATION,"Physical Education (K-12); Health","PE105-01 - Health (Section 1); PE104-05 - Physical Education 12 (Section 5); PE102-03 - Physical Education 10 (Section 3); PE107-03 - Team Sports (Section 3); PE103-06 - Physical Education 11 (Section 6)",40,TRUE
